Pair,Market Quote,via EUR,via JPY,via GBP,via CHF,via CNY,via USD
EUR to JPY,162.5240,162.5240,162.5240,162.4628,162.5088,162.4732,162.5352
EUR to GBP,0.8487,0.8487,0.8456,0.8487,0.8486,0.8486,0.8488
EUR to CHF,0.9469,0.9469,0.9469,0.9467,0.9469,0.9467,0.9468
EUR to CNY,7.9423,7.9423,7.9425,7.9411,7.9419,7.9423,7.9425
EUR to USD,1.1117,1.1117,1.1116,1.1116,1.1117,1.1117,1.1117
JPY to GBP,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052
JPY to CHF,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
JPY to CNY,0.0489,0.0488,0.0489,0.0487,0.0489,0.0489,0.0489
JPY to USD,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
GBP to CHF,1.1155,1.1154,1.1153,1.1155,1.1155,1.1154,1.1155
GBP to CNY,9.3570,9.3562,9.3552,9.3570,9.3563,9.3570,9.3576
GBP to USD,1.3098,1.3096,1.3094,1.3098,1.3097,1.3097,1.3098
CHF to CNY,8.3877,8.3867,8.3876,8.3862,8.3877,8.3877,8.3884
CHF to USD,1.1741,1.1739,1.1739,1.1739,1.1741,1.1740,1.1741
CNY to USD,0.1400,0.1399,0.1399,0.1399,0.1400,0.1400,0.1400
